fbpid,fuid,latest_login_time,lifespan,pay_sum,coin_sum,get_pay,get_win,get_sys,get_duihuan,senior,profession,personal,middle,low
BD5FDCFA71A9CD5313766DAE14B56F9F,1002663882,2018-07-29,158,0.00,215587,0.0000,14.0460,85.9540,0.0000,0.0000,0.0000,0.0000,0.6600,99.3400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002752533,2018-03-12,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002831563,2018-08-13,132,0.00,422752,0.0000,34.8554,65.1446,0.0000,7.7800,0.0000,0.0000,16.2600,75.9600
BD5FDCFA71A9CD5313766DAE14B56F9F,1003056304,2018-08-25,39,0.00,239490,0.0000,33.8298,66.1702,0.0000,0.0000,0.0000,0.0000,10.2600,89.7400
384C601DAA0369E7BB9AECC1D53D3437,1002391699,2018-04-06,134,0.00,49400,0.0000,14.0561,85.9439,0.0000,0.0000,0.0000,11.2400,0.3400,88.4200
384C601DAA0369E7BB9AECC1D53D3437,1002459289,2018-05-13,145,0.99,84988,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002646585,2018-04-07,49,0.00,570901,0.0000,62.0151,37.9849,0.0000,3.0500,0.0000,0.0000,19.6900,77.2600
384C601DAA0369E7BB9AECC1D53D3437,1002680522,2018-08-12,168,0.00,97736,0.0000,45.5333,54.4667,0.0000,0.0000,0.0000,0.0000,1.2000,98.8000
384C601DAA0369E7BB9AECC1D53D3437,1003045613,2018-07-22,10,0.00,103680,0.0000,14.8372,85.1628,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002246134,2018-08-26,312,0.00,1889945,0.0000,46.8045,53.1955,0.0000,0.0000,0.0000,0.0000,0.0600,99.9400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002453853,2018-08-26,252,0.00,1103322,0.0000,18.7556,81.2444,0.0000,0.0000,0.0000,0.0000,19.7500,80.2500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002479371,2018-08-20,236,0.00,8000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002570338,2018-08-26,219,0.00,1898093,0.0000,46.4202,52.4151,0.0000,0.0600,0.0000,0.0000,22.4700,77.4700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002635341,2018-08-26,193,0.99,711470,5.2784,43.6079,51.1137,0.0000,0.0000,0.0000,0.0000,16.4800,83.5200
BD5FDCFA71A9CD5313766DAE14B56F9F,1002703864,2018-04-19,49,0.00,190288,0.0000,65.3110,34.6890,0.0000,0.0000,0.0000,0.0000,2.9000,97.1000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002831198,2018-08-26,145,0.00,3158877,0.0000,49.4062,46.3086,0.0000,2.1900,0.0000,0.0000,10.8600,86.9500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002846506,2018-05-17,40,0.00,124456,0.0000,35.0157,64.9843,0.0000,7.1800,0.0000,0.0000,34.6400,58.1800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002920659,2018-05-10,12,0.00,33500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002967756,2018-08-13,82,0.00,66030,0.0000,4.3478,95.6522,0.0000,0.0000,0.0000,0.0000,19.0200,80.9800
BD5FDCFA71A9CD5313766DAE14B56F9F,1003107895,2018-08-26,11,4.99,189037,0.0000,29.5614,70.4386,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002226165,2018-05-13,215,0.00,4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002398826,2018-06-25,211,0.00,62508,0.0000,84.6733,15.3267,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002609753,2018-07-27,174,0.00,43000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002610623,2018-02-25,22,0.00,15500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002954602,2018-08-26,101,0.00,1493343,0.0000,15.1728,84.4321,0.0000,0.0000,0.0000,0.0000,1.2600,98.7400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002271411,2018-08-26,310,0.00,1764558,0.0000,41.6620,58.3380,0.0000,0.0000,0.0000,0.0000,1.5100,98.4900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002280219,2018-04-20,181,0.00,1167873,0.0000,71.1569,28.8431,0.0000,1.7500,0.0000,0.0000,12.2300,86.0300
