user_style_daily_sirendoudizhu.fbpid,user_style_daily_sirendoudizhu.fuid,user_style_daily_sirendoudizhu.sys_sum,user_style_daily_sirendoudizhu.sys_percent,user_style_daily_sirendoudizhu.win_sum,user_style_daily_sirendoudizhu.win_percent,user_style_daily_sirendoudizhu.pay_sum,user_style_daily_sirendoudizhu.pay_percent,user_style_daily_sirendoudizhu.change_sum,user_style_daily_sirendoudizhu.change_percent,user_style_daily_sirendoudizhu.coin_total,user_style_daily_sirendoudizhu.primary_total_time,user_style_daily_sirendoudizhu.primary_total_count,user_style_daily_sirendoudizhu.primary_percent,user_style_daily_sirendoudizhu.practice_total_time,user_style_daily_sirendoudizhu.practice_total_count,user_style_daily_sirendoudizhu.practice_percent,user_style_daily_sirendoudizhu.native_total_time,user_style_daily_sirendoudizhu.native_total_count,user_style_daily_sirendoudizhu.native_percent,user_style_daily_sirendoudizhu.middle_total_time,user_style_daily_sirendoudizhu.middle_total_count,user_style_daily_sirendoudizhu.middle_percent,user_style_daily_sirendoudizhu.high_total_time,user_style_daily_sirendoudizhu.high_total_count,user_style_daily_sirendoudizhu.high_percent,user_style_daily_sirendoudizhu.master_total_time,user_style_daily_sirendoudizhu.master_total_count,user_style_daily_sirendoudizhu.master_percent,user_style_daily_sirendoudizhu.dt
53A1CFE86FB5700D88BF92D5087FFD2B,4300387,30046,56.0298,23579,43.9702,0,0,0,0.0,53625,0,0,0.0,1839,12,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10994188,17944,58.4153,12774,41.5847,0,0,0,0.0,30718,0,0,0.0,3049,17,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,9563380,22718,55.0926,18518,44.9074,0,0,0,0.0,41236,0,0,0.0,1079,8,88.1536,145,1,11.8464,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,11696180,3333,81.5712,753,18.4288,0,0,0,0.0,4086,0,0,0.0,141,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,9698728,48196,52.9673,42796,47.0327,0,0,0,0.0,90992,0,0,0.0,698,4,35.1992,1285,8,64.8008,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11145228,9233,83.8145,1783,16.1855,0,0,0,0.0,11016,0,0,0.0,185,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10851123,12520,52.0799,11520,47.9201,0,0,0,0.0,24040,0,0,0.0,0,0,0.0,178,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,11782449,5640,60.4502,3690,39.5498,0,0,0,0.0,9330,0,0,0.0,446,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4007599,76681,48.2222,82335,51.7778,0,0,0,0.0,159016,0,0,0.0,0,0,0.0,1222,9,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
89D1A3AD2CFFF5709C8CCC0277E01269,11319670,5652,55.12,4602,44.88,0,0,0,0.0,10254,0,0,0.0,514,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
