fbpid,fuid,lifespan,pay_sum,latest_login_time,null,付费,赢牌获得,系统产出,兑换,null,高级场,职业场,私人场,中级场,新手场
BD5FDCFA71A9CD5313766DAE14B56F9F,1002813103,82,0.00,2018-06-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002415016,124,0.00,2018-04-07,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002580455,183,0.00,2018-07-25,0.0000,0.0000,2.9216,97.0784,0.0000,0.0000,0.0000,0.0000,7.2100,0.0000,92.7900
384C601DAA0369E7BB9AECC1D53D3437,1002861854,1,0.00,2018-04-10,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1003000818,6,0.00,2018-06-19,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,6.4300,0.0000,0.0000,21.5300,72.0400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002246493,296,0.00,2018-08-10,0.0000,0.0000,63.5103,36.4897,0.0000,0.0000,6.0200,0.0000,0.0000,19.8800,74.1000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002601705,31,0.00,2018-03-02,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002646670,20,0.00,2018-03-09,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002719413,19,0.00,2018-03-22,0.0000,0.0000,47.2849,52.7151,0.0000,0.0000,0.0000,0.0000,3.2800,18.8600,77.8600
BD5FDCFA71A9CD5313766DAE14B56F9F,1002922699,98,0.00,2018-08-05,0.0000,0.0000,40.5013,59.4987,0.0000,0.0000,0.0000,0.0000,18.4200,4.2000,77.3800
